,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
38691,3396,KBDL,large_airport,Bradley International Airport,41.938555,-72.688016,173.0,,US,US-CT,Hartford,yes,KBDL,BDL,KBDL,BDL,http://www.bradleyairport.com/,https://en.wikipedia.org/wiki/Bradley_International_Airport,"HFD, Hartford"
38704,3400,KBFF,medium_airport,Western Neb. Rgnl/William B. Heilig Airport,41.87400055,-103.5960007,3967.0,,US,US-NE,Scottsbluff,yes,KBFF,BFF,KBFF,BFF,,https://en.wikipedia.org/wiki/Western_Nebraska_Regional_Airport,William B. Heilig Field
38707,3402,KBFL,medium_airport,Meadows Field,35.433601,-119.056999,510.0,,US,US-CA,Bakersfield,yes,KBFL,BFL,KBFL,BFL,,https://en.wikipedia.org/wiki/Meadows_Field_Airport,
38713,3404,KBGM,medium_airport,Greater Binghamton/Edwin A Link field,42.20869827,-75.97979736,1636.0,,US,US-NY,Binghamton,yes,KBGM,BGM,KBGM,BGM,http://binghamtonairport.com/,https://en.wikipedia.org/wiki/Greater_Binghamton_Airport,"Broome County Airport, Edwin A Link Field"
38714,3405,KBGR,medium_airport,Bangor International Airport,44.806364,-68.826668,192.0,,US,US-ME,Bangor,yes,KBGR,BGR,KBGR,BGR,https://flybangor.com,https://en.wikipedia.org/wiki/Bangor_International_Airport,
38719,3406,KBHM,large_airport,Birmingham-Shuttlesworth International Airport,33.562877,-86.750712,650.0,,US,US-AL,Birmingham,yes,KBHM,BHM,KBHM,BHM,http://www.flybirmingham.com/,https://en.wikipedia.org/wiki/Birmingham_International_Airport_(US),
38723,19377,KBIH,medium_airport,Eastern Sierra Regional Airport,37.3731,-118.363998,4124.0,,US,US-CA,Bishop,yes,KBIH,BIH,KBIH,BIH,http://www.inyocounty.us/Airport/index.html,https://en.wikipedia.org/wiki/Eastern_Sierra_Regional_Airport,
38725,3408,KBIL,medium_airport,Billings Logan International Airport,45.808932,-108.541242,3652.0,,US,US-MT,Billings,yes,KBIL,BIL,KBIL,BIL,,https://en.wikipedia.org/wiki/Billings_Logan_International_Airport,
38726,3409,KBIS,medium_airport,Bismarck Municipal Airport,46.772734,-100.746874,1661.0,,US,US-ND,Bismarck,yes,KBIS,BIS,KBIS,BIS,https://bismarckairport.com/,https://en.wikipedia.org/wiki/Bismarck_Municipal_Airport,Burleigh County Airport
38730,19380,KBJI,medium_airport,Bemidji Regional Airport,47.50939941,-94.93370056,1391.0,,US,US-MN,Bemidji,no,KBJI,BJI,KBJI,BJI,http://www.bemidjiairport.org/,https://en.wikipedia.org/wiki/Bemidji_Regional_Airport,
38744,3416,KBLI,medium_airport,Bellingham International Airport,48.79280090332031,-122.53800201416016,170.0,,US,US-WA,Bellingham,yes,KBLI,BLI,KBLI,BLI,,https://en.wikipedia.org/wiki/Bellingham_International_Airport,
38747,3417,KBLV,medium_airport,Scott AFB/Midamerica Airport,38.5452,-89.835197,459.0,,US,US-IL,Belleville,yes,KBLV,BLV,KBLV,BLV,,https://en.wikipedia.org/wiki/Scott_Air_Force_Base,Scott Air Force Base
38750,3419,KBMI,medium_airport,Central Illinois Regional Airport at Bloomington-Normal,40.4771,-88.915901,871.0,,US,US-IL,Bloomington/Normal,yes,KBMI,BMI,KBMI,BMI,,https://en.wikipedia.org/wiki/Central_Illinois_Regional_Airport,
38754,3420,KBNA,large_airport,Nashville International Airport,36.1245,-86.6782,599.0,,US,US-TN,Nashville,yes,KBNA,BNA,KBNA,BNA,https://flynashville.com/,https://en.wikipedia.org/wiki/Nashville_International_Airport,
38759,3421,KBOI,large_airport,Boise Air Terminal/Gowen Field,43.5644,-116.223,2871.0,,US,US-ID,Boise,yes,KBOI,BOI,KBOI,BOI,http://www.cityofboise.org/departments/airport/,https://en.wikipedia.org/wiki/Boise_Airport,"Boise Air Terminal, Gowen Field"
38761,3422,KBOS,large_airport,Boston Logan International Airport,42.36197,-71.0079,20.0,,US,US-MA,Boston,yes,KBOS,BOS,KBOS,BOS,http://www.massport.com/logan/,https://en.wikipedia.org/wiki/Logan_International_Airport,General Edward Lawrence Logan International Airport
38766,3423,KBPT,medium_airport,Jack Brooks Regional Airport,29.9508,-94.020699,15.0,,US,US-TX,Beaumont/Port Arthur,yes,KBPT,BPT,KBPT,BPT,https://flysetx.com/,https://en.wikipedia.org/wiki/Jack_Brooks_Regional_Airport,Southeast Texas Regional
38767,3424,KBQK,medium_airport,Brunswick Golden Isles Airport,31.258801,-81.466499,26.0,,US,US-GA,Brunswick,yes,KBQK,BQK,KBQK,BQK,,https://en.wikipedia.org/wiki/Brunswick_Golden_Isles_Airport,Glynco Jetport
38770,19406,KBRD,medium_airport,Brainerd Lakes Regional Airport,46.402861,-94.129727,1232.0,,US,US-MN,Brainerd,yes,KBRD,BRD,KBRD,BRD,http://brainerdairport.com/,https://en.wikipedia.org/wiki/Brainerd_Lakes_Regional_Airport,Crow Wing County Airport
38772,3426,KBRO,medium_airport,Brownsville South Padre Island International Airport,25.907238,-97.425235,22.0,,US,US-TX,Brownsville,yes,KBRO,BRO,KBRO,BRO,https://flybrownsville.com,https://en.wikipedia.org/wiki/Brownsville/South_Padre_Island_International_Airport,
38779,3428,KBTM,medium_airport,Bert Mooney Airport,45.95479965209961,-112.49700164794922,5550.0,,US,US-MT,Butte,yes,KBTM,BTM,KBTM,BTM,,https://en.wikipedia.org/wiki/Bert_Mooney_Airport,
38782,3429,KBTR,medium_airport,Baton Rouge Metropolitan Airport,30.533199,-91.149597,70.0,,US,US-LA,Baton Rouge,yes,KBTR,BTR,KBTR,BTR,,https://en.wikipedia.org/wiki/Baton_Rouge_Metropolitan_Airport,
38783,3430,KBTV,medium_airport,Patrick Leahy Burlington International Airport,44.471901,-73.153297,335.0,,US,US-VT,Burlington,yes,KBTV,BTV,KBTV,BTV,http://www.vermontairports.com/btv.html,https://en.wikipedia.org/wiki/Burlington_International_Airport,
38786,3431,KBUF,large_airport,Buffalo Niagara International Airport,42.940498,-78.732201,728.0,,US,US-NY,Buffalo,yes,KBUF,BUF,KBUF,BUF,https://www.buffaloairport.com/,https://en.wikipedia.org/wiki/Buffalo_Niagara_International_Airport,
38788,3432,KBUR,large_airport,Hollywood Burbank/Bob Hope Airport,34.202834,-118.35805,778.0,,US,US-CA,Burbank,yes,KBUR,BUR,KBUR,BUR,https://www.hollywoodburbankairport.com/,https://en.wikipedia.org/wiki/Hollywood_Burbank_Airport,"United Airport, Union Air Terminal, Lockheed Air Terminal, Burbank–Glendale–Pasadena"
38800,3435,KBWI,large_airport,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,146.0,,US,US-MD,Baltimore,yes,KBWI,BWI,KBWI,BWI,https://www.bwiairport.com/,https://en.wikipedia.org/wiki/Baltimore/Washington_International_Airport,"WAS, Friendship International"
38812,3437,KBZN,medium_airport,Bozeman Yellowstone International Airport,45.778853,-111.153711,4473.0,,US,US-MT,Bozeman,yes,KBZN,BZN,KBZN,BZN,https://bozemanairport.com,https://en.wikipedia.org/wiki/Bozeman_Yellowstone_International_Airport,Gallatin Field
38845,3438,KCAE,medium_airport,Columbia Metropolitan Airport,33.938172,-81.123022,236.0,,US,US-SC,Columbia,yes,KCAE,CAE,KCAE,CAE,https://flycae.com,https://en.wikipedia.org/wiki/Columbia_Metropolitan_Airport,
38847,3439,KCAK,medium_airport,Akron Canton Regional Airport,40.91609954833984,-81.44219970703125,1228.0,,US,US-OH,Akron,yes,KCAK,CAK,KCAK,CAK,,https://en.wikipedia.org/wiki/Akron-Canton_Regional_Airport,
